Social Behaviour,ConflictResolution,MoralAlignment,Intelligence,Ambition,Loyalty,Leadership,RiskTaker,SenseOfHumor,Curiosity,Adaptibility,Cunning,Patience,House
['Ambivert'],['Mediator'],['Opportunist'],8.65,9.81,5.21,7.79,8.12,5.27,7.69,9.45,9.33,6.67,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.72,3.88,6.12,4.0,4.29,5.36,9.44,8.02,5.75,7.55,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],3.06,6.24,9.6,3.18,5.64,8.33,6.89,8.13,3.38,9.74,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],6.39,7.76,9.01,6.02,9.53,8.01,6.07,6.51,4.34,5.9,Gryffindor
['Ambivert'],['Confrontational'],['Opportunist'],7.15,9.46,4.81,10.0,8.51,4.42,8.04,8.92,8.23,7.04,Slytherin
['Introvert'],['Confrontational'],['Realist'],8.6,6.62,9.07,4.44,4.96,4.57,8.12,7.2,6.28,7.44,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],1.9,5.53,8.29,1.71,5.13,8.57,5.31,7.74,2.57,9.2,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],6.64,8.68,6.07,8.29,9.51,7.69,7.94,8.54,5.27,4.19,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],7.38,9.82,8.98,7.17,8.77,4.97,7.12,9.84,9.56,7.89,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.3,5.94,8.18,4.74,5.85,4.24,9.69,7.44,6.6,7.24,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],5.14,6.86,8.21,0.25,4.09,6.74,6.06,6.57,3.05,9.5,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],5.36,8.17,8.84,7.34,8.76,7.72,7.43,7.89,4.23,5.63,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],7.92,9.24,7.35,9.82,9.51,4.83,6.0,9.91,9.51,6.47,Slytherin
['Introvert'],['Confrontational'],['Realist'],8.94,7.26,8.58,5.88,4.34,7.64,8.63,8.96,6.2,7.98,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],0.67,3.8,9.43,5.13,5.4,7.75,6.9,6.23,3.11,9.78,Hufflepuff
['Ambivert'],['Confrontational'],['Idealist'],6.27,7.52,8.56,8.56,7.31,8.14,7.35,7.75,5.85,4.84,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],5.23,9.72,9.55,8.58,8.29,5.1,6.87,9.62,9.67,6.4,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.3,6.5,9.21,3.33,4.1,4.07,8.58,7.37,6.65,7.9,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],4.02,3.59,8.36,2.68,4.99,6.08,5.7,6.73,2.27,9.13,Hufflepuff
['Extrovert'],['Confrontational'],['Opportunist'],8.03,7.26,8.54,7.61,9.14,8.22,5.15,8.15,5.56,5.97,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],6.16,9.39,6.01,7.83,8.51,3.09,6.19,9.88,9.47,6.76,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.77,4.38,9.65,4.08,4.81,5.74,8.33,8.96,6.59,7.0,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],5.79,2.69,8.9,3.37,0.7,8.87,6.17,6.7,3.56,9.54,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],5.59,7.4,8.05,8.71,8.92,9.64,5.6,6.14,4.7,5.75,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],9.35,9.72,5.36,8.7,9.95,3.5,7.57,8.1,9.02,6.07,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.45,5.66,8.78,5.0,3.98,6.87,8.53,8.06,5.93,7.63,Ravenclaw
['Ambivert'],['Avoidant'],['Idealist'],1.5,3.67,8.53,5.08,4.06,6.65,4.33,8.45,2.86,9.82,Hufflepuff
['Extrovert'],['Mediator'],['Idealist'],8.06,9.45,6.28,6.7,9.07,8.36,7.16,6.33,5.16,4.75,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],9.14,9.36,5.79,8.57,9.84,3.3,8.08,9.06,10.0,7.95,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.76,4.66,7.63,3.8,3.87,7.96,9.26,7.8,6.32,7.45,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],4.32,5.81,8.15,3.64,3.68,8.54,4.0,8.67,2.55,9.11,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],8.36,8.49,8.09,5.07,8.47,8.69,6.46,6.12,5.67,4.91,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],6.94,9.62,4.5,7.52,9.37,5.34,6.36,8.51,9.92,7.17,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.71,4.75,5.34,5.88,4.63,4.33,8.64,8.49,5.48,7.39,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],3.54,3.33,9.25,4.43,0.68,7.09,4.2,8.73,3.37,9.2,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],6.43,8.85,6.61,9.87,7.0,7.13,7.56,6.67,5.12,5.97,Gryffindor
['Ambivert'],['Confrontational'],['Opportunist'],5.57,9.64,1.0,7.79,9.8,3.45,8.56,9.3,8.28,7.5,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.03,7.69,9.35,4.4,5.14,5.86,9.98,8.24,5.23,7.03,Ravenclaw
['Extrovert'],['Mediator'],['Idealist'],4.49,1.14,8.54,3.93,0.69,6.71,5.44,5.14,2.99,9.94,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],9.21,8.39,8.99,6.16,7.84,7.64,5.79,6.68,5.58,5.22,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],7.76,9.81,6.61,9.84,8.49,5.59,8.18,8.28,9.75,7.84,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.83,5.1,5.5,5.01,4.75,6.03,8.75,8.5,5.98,7.19,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],1.76,3.65,8.02,3.02,4.03,7.86,4.2,8.99,3.97,9.88,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],5.66,7.62,8.68,5.88,9.3,9.87,6.93,6.29,5.86,4.63,Gryffindor
['Extrovert'],['Mediator'],['Opportunist'],6.87,9.69,8.66,7.9,7.72,4.34,7.0,8.77,8.27,6.26,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.72,6.56,5.54,4.62,5.26,6.61,8.15,8.16,5.91,7.62,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],2.61,5.56,8.12,0.54,1.75,7.01,5.62,7.13,2.81,9.45,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],7.18,9.74,7.4,9.85,8.4,9.9,6.31,6.66,4.84,5.05,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],6.25,9.05,6.76,9.07,9.47,4.83,6.14,9.25,9.69,6.37,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.89,5.01,5.53,4.0,4.12,7.91,8.59,7.93,5.66,7.97,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],5.27,1.56,9.85,5.31,5.81,8.37,5.16,8.9,2.11,9.13,Hufflepuff
['Extrovert'],['Mediator'],['Idealist'],9.62,7.56,7.44,5.08,8.41,9.27,5.92,7.47,5.87,5.64,Gryffindor
['Extrovert'],['Mediator'],['Opportunist'],7.91,9.67,9.07,7.25,8.36,5.05,6.74,9.48,8.17,7.53,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.52,7.15,7.8,4.5,5.16,5.46,9.23,8.03,5.5,7.98,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],5.66,0.29,8.34,0.86,4.63,8.96,6.65,7.27,2.59,9.76,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],8.21,8.7,9.72,8.3,8.08,9.98,5.47,6.9,5.17,5.76,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],9.02,9.49,2.88,8.84,7.9,4.48,7.19,9.22,8.37,7.44,Slytherin
['Introvert'],['Avoidant'],['Opportunist'],9.18,7.19,9.7,4.91,3.8,7.02,8.76,7.41,5.76,7.48,Ravenclaw
['Extrovert'],['Mediator'],['Realist'],1.21,3.98,8.36,5.62,3.18,7.51,6.24,7.42,3.37,9.71,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],9.6,7.39,8.84,6.33,9.22,8.72,6.18,7.58,5.96,4.8,Gryffindor
['Ambivert'],['Mediator'],['Realist'],5.71,9.01,9.46,9.51,7.47,4.69,6.86,8.22,8.56,7.97,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.83,3.13,6.19,5.48,4.41,5.47,9.17,8.9,7.0,7.21,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],2.15,3.85,8.83,0.17,4.73,7.51,6.7,8.2,3.46,9.45,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],7.21,9.18,7.94,7.28,7.67,7.24,5.06,7.71,4.82,4.13,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],5.07,9.07,3.75,8.97,8.35,3.06,8.25,9.45,8.86,6.35,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.07,3.85,6.68,4.86,4.41,5.95,8.76,7.44,6.58,7.92,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],3.32,1.46,8.65,3.45,0.54,8.0,5.65,7.11,2.6,9.74,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],8.37,9.78,6.45,7.49,9.25,7.61,5.41,7.34,5.12,5.79,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],7.37,9.69,0.18,7.22,9.44,3.57,8.26,8.74,9.32,7.04,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.66,4.19,7.36,5.33,5.93,4.35,9.61,8.21,6.81,7.63,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],4.94,0.94,8.05,0.56,5.09,6.78,5.37,7.77,3.85,9.59,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],6.05,7.61,6.01,7.79,9.45,9.41,6.47,6.72,5.07,4.66,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],9.8,9.68,7.73,8.59,7.78,3.1,7.68,8.2,9.79,7.1,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.62,6.89,6.45,3.52,4.18,7.91,8.01,8.56,6.86,7.99,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],5.12,0.09,8.01,1.25,4.54,6.06,4.54,8.61,3.95,9.44,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],6.41,9.34,7.86,8.13,8.31,8.11,5.6,7.95,4.67,5.46,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],5.4,9.71,3.98,7.26,8.34,4.22,7.19,8.45,9.79,7.2,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.17,3.64,7.54,3.85,3.82,6.2,9.15,7.31,5.75,7.24,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],2.24,5.89,8.38,3.35,3.57,7.04,5.63,6.17,2.83,9.13,Hufflepuff
['Introvert'],['Confrontational'],['Idealist'],5.08,9.78,6.18,6.98,8.6,9.54,6.83,8.6,5.09,5.48,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],7.15,9.73,1.1,7.6,7.57,3.17,7.34,8.96,9.2,6.22,Slytherin
['Introvert'],['Confrontational'],['Realist'],9.52,4.58,9.37,3.39,5.61,7.26,8.77,7.32,6.46,7.16,Ravenclaw
['Ambivert'],['Mediator'],['Opportunist'],2.91,3.11,9.25,0.52,4.31,6.65,4.65,7.19,2.85,9.77,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],6.65,9.38,7.67,9.63,9.09,8.34,6.18,8.15,5.11,5.61,Gryffindor
['Extrovert'],['Mediator'],['Opportunist'],5.54,9.24,7.73,9.74,8.02,5.66,7.45,8.89,8.93,6.33,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.34,4.09,9.69,4.17,3.95,4.49,9.01,7.54,6.46,7.34,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],0.95,0.81,9.39,0.33,5.75,8.55,5.57,7.14,3.41,9.92,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],6.1,9.14,8.37,6.93,9.79,8.55,6.19,8.55,4.72,5.8,Gryffindor
['Ambivert'],['Mediator'],['Realist'],7.52,9.62,1.41,8.0,7.89,3.04,8.36,9.18,8.31,7.74,Slytherin
['Ambivert'],['Avoidant'],['Realist'],8.33,6.33,7.09,3.71,4.03,5.99,9.15,8.93,5.27,7.45,Ravenclaw
['Introvert'],['Mediator'],['Idealist'],0.84,1.56,9.34,3.06,3.76,6.47,6.76,5.47,2.65,9.89,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],9.38,7.81,9.65,7.54,7.12,8.65,5.07,7.52,4.4,4.95,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],6.78,9.99,5.26,9.17,8.62,3.35,6.07,8.51,8.96,7.65,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.78,6.31,5.28,3.42,3.16,6.46,9.05,7.62,5.08,7.57,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],1.86,4.22,8.36,2.78,1.5,8.12,7.0,7.29,2.72,9.4,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],5.15,8.83,6.73,5.09,7.65,7.39,7.87,8.34,4.2,4.8,Gryffindor
['Introvert'],['Mediator'],['Opportunist'],8.34,9.46,8.18,7.53,9.79,4.1,7.8,9.71,8.28,6.69,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.83,5.39,6.1,3.27,4.94,4.94,9.59,8.57,5.14,7.16,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],5.28,4.59,8.49,0.57,1.41,8.39,5.09,7.15,3.97,9.36,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],8.81,8.01,8.08,7.71,8.08,8.09,7.34,7.71,5.0,4.49,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],6.49,9.72,5.0,7.97,7.22,5.41,6.27,8.48,9.26,6.74,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.7,6.32,5.26,5.82,5.2,6.91,8.0,8.81,6.23,7.06,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],2.08,2.28,9.5,0.37,4.94,6.9,5.12,8.63,3.72,9.1,Hufflepuff
['Extrovert'],['Confrontational'],['Realist'],6.16,9.47,7.36,8.48,7.98,7.13,6.71,8.76,5.98,4.72,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],9.9,9.85,1.36,9.74,9.56,4.06,7.53,8.29,9.31,7.65,Slytherin
['Extrovert'],['Avoidant'],['Realist'],8.59,6.36,6.23,5.84,3.88,6.31,8.61,8.21,6.52,7.85,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],4.09,6.84,8.72,3.16,5.97,7.36,6.05,6.65,3.54,9.98,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],6.44,9.09,9.07,8.07,9.15,8.86,7.0,6.48,5.14,5.89,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],6.72,9.61,9.12,7.93,7.11,4.09,6.18,8.41,8.71,6.93,Slytherin
['Introvert'],['Confrontational'],['Realist'],9.99,5.86,8.13,5.73,3.79,4.38,8.11,7.26,6.46,7.92,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],2.19,4.46,9.82,1.86,3.37,8.82,5.95,7.84,3.28,9.4,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],6.18,9.83,6.06,8.99,7.56,8.4,7.85,7.86,4.76,4.5,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],8.43,9.27,1.26,7.02,9.12,4.63,7.6,9.28,8.26,7.58,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.7,3.41,7.84,3.99,5.72,7.54,9.08,8.43,5.8,7.82,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],3.91,5.34,9.54,3.4,0.09,7.62,4.46,7.29,2.31,9.84,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],7.15,7.34,6.94,9.1,7.56,8.73,5.9,8.05,4.37,5.09,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],6.59,9.47,8.44,9.73,8.88,4.19,6.71,8.14,9.4,6.95,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.74,4.2,5.83,4.93,4.44,5.53,8.67,7.11,5.68,7.79,Ravenclaw
['Ambivert'],['Avoidant'],['Idealist'],3.36,1.69,8.59,4.25,1.15,8.57,5.97,8.69,2.15,9.65,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],7.14,9.97,8.37,6.54,8.91,9.57,7.8,7.49,4.13,5.16,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],7.51,9.0,9.1,7.35,7.33,5.24,8.04,9.98,9.24,6.32,Slytherin
['Ambivert'],['Avoidant'],['Realist'],8.42,3.99,9.81,4.84,5.66,4.98,8.16,7.76,6.72,7.26,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],2.87,1.6,9.77,1.38,4.23,6.15,4.43,5.2,2.19,9.99,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],7.37,7.91,9.6,9.71,9.89,9.96,5.56,7.06,4.75,4.02,Gryffindor
['Ambivert'],['Mediator'],['Realist'],6.49,9.76,5.55,9.81,9.59,4.36,8.43,9.93,8.43,6.98,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.93,7.0,9.36,4.38,4.62,4.75,9.02,7.51,5.32,7.09,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],4.42,3.39,8.43,5.0,0.27,7.44,5.01,7.48,2.88,9.55,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],7.29,8.77,7.61,7.43,8.42,8.23,5.26,8.31,4.75,4.69,Gryffindor
['Ambivert'],['Avoidant'],['Opportunist'],7.37,9.92,0.68,9.85,7.43,4.97,7.12,8.24,9.29,6.48,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.51,7.22,9.82,5.08,5.5,5.9,8.7,8.47,5.82,7.04,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],4.74,3.42,9.83,4.58,0.9,7.64,5.3,5.48,2.88,9.64,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],5.94,8.94,6.14,9.07,7.39,7.94,7.76,7.38,4.17,5.64,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],9.75,9.54,9.08,9.87,9.06,3.06,6.34,8.96,8.34,7.14,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.86,7.86,7.7,3.78,4.47,4.93,8.2,8.3,5.56,7.65,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],0.16,4.21,8.26,5.57,1.37,7.98,4.39,8.32,2.01,9.65,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],5.83,7.35,6.98,8.45,8.88,8.68,5.75,8.92,4.8,4.96,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],9.52,9.41,3.76,7.66,7.4,4.5,8.25,9.33,8.14,6.83,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.23,4.08,5.08,5.01,3.93,6.78,8.48,8.63,6.84,7.64,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],1.1,3.74,9.42,0.01,5.66,8.92,6.7,7.46,3.43,9.38,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],8.59,7.72,6.08,7.0,9.73,8.25,7.04,6.54,4.78,5.29,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],5.67,9.27,5.05,7.46,9.94,5.95,8.18,8.33,8.34,6.65,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.34,7.32,7.37,4.5,4.08,6.75,8.28,8.99,6.03,7.75,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],0.23,2.15,9.36,5.86,4.22,7.27,4.46,6.18,2.02,9.06,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],5.85,8.63,8.53,9.9,9.49,8.99,6.16,8.43,5.28,4.8,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],8.76,9.96,5.77,7.62,7.76,3.84,6.01,9.29,9.17,7.27,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.66,5.85,7.96,5.92,5.25,6.19,8.72,8.48,5.25,7.59,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],4.72,5.55,9.88,4.0,5.71,8.47,6.4,8.59,3.17,9.64,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],9.9,7.49,8.0,6.81,9.33,8.32,7.29,6.62,4.32,4.79,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],7.15,9.8,6.78,7.32,8.36,4.38,6.43,8.78,8.57,6.07,Slytherin
['Introvert'],['Confrontational'],['Realist'],8.45,5.98,7.15,4.4,3.32,6.33,8.44,8.29,6.76,7.97,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],3.19,5.0,9.63,3.41,2.61,8.02,4.78,7.5,2.63,9.1,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],9.46,8.2,6.77,6.13,8.92,8.95,7.99,8.06,5.36,4.92,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],6.17,9.96,5.19,8.42,8.2,3.09,8.17,9.84,8.0,6.08,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.82,3.73,5.31,3.31,5.59,4.22,9.99,8.63,6.6,7.2,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],4.19,2.94,9.59,0.0,5.43,6.42,4.28,8.82,2.41,9.75,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],6.1,9.24,9.88,5.41,8.18,8.18,6.41,7.09,4.38,4.07,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],8.84,9.11,8.51,7.75,9.39,4.54,7.71,8.02,9.71,6.77,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.98,5.45,9.48,3.77,3.33,4.61,9.36,8.17,5.96,7.74,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],3.08,1.09,9.79,4.05,3.89,8.97,6.61,6.64,3.25,9.15,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],5.23,8.42,7.07,6.65,9.49,8.79,5.41,8.76,4.98,5.1,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],7.65,9.69,1.63,9.23,9.67,4.26,7.58,8.07,8.32,6.72,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.66,6.01,9.72,4.14,4.04,6.18,9.98,7.14,5.34,7.17,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],0.69,3.26,9.02,3.75,3.39,8.8,4.04,8.38,3.5,9.61,Hufflepuff
['Ambivert'],['Confrontational'],['Idealist'],5.55,8.18,8.57,9.48,8.4,9.54,5.43,8.23,5.46,4.85,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],9.6,9.29,5.69,8.88,9.95,3.13,7.42,9.69,9.1,7.59,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.91,6.34,5.72,4.77,4.32,6.58,9.62,7.92,6.28,7.63,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],1.88,1.69,9.5,1.58,4.89,8.03,4.57,8.88,2.01,9.07,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],6.11,7.03,7.72,7.38,8.91,9.71,5.4,7.67,5.39,5.18,Gryffindor
['Ambivert'],['Mediator'],['Realist'],7.97,9.5,3.08,9.12,7.68,3.33,8.85,8.75,9.98,7.56,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.32,5.69,5.77,5.17,5.23,6.06,8.49,7.24,5.26,7.57,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],4.61,1.36,9.89,4.55,0.47,8.95,5.15,8.0,3.17,9.52,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],9.19,7.8,9.02,8.85,7.39,7.44,5.37,6.44,5.52,5.02,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],6.56,9.36,1.2,7.51,8.53,5.67,8.13,9.38,8.06,6.04,Slytherin
['Introvert'],['Mediator'],['Realist'],9.47,7.07,8.47,3.48,4.32,5.35,8.57,7.44,5.35,7.09,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],3.07,6.63,9.02,5.1,1.79,8.59,6.95,7.99,2.18,9.64,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],7.86,7.56,8.62,7.47,7.38,8.88,6.93,6.09,4.41,5.99,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],7.98,9.07,8.79,8.12,8.59,4.83,6.65,8.67,8.93,7.73,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.62,5.95,7.52,3.31,3.93,5.85,8.4,8.26,6.04,7.16,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],5.93,6.11,8.85,1.23,3.09,8.76,4.16,7.67,2.07,9.87,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],6.67,7.31,9.85,6.76,8.53,9.74,5.99,7.94,4.35,4.96,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],7.59,9.07,1.63,9.07,8.43,4.6,8.35,8.44,9.93,6.86,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.25,4.39,8.63,3.35,3.16,7.26,9.25,7.55,5.87,7.11,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],2.52,5.44,9.25,5.15,0.77,6.89,4.68,7.78,3.55,9.42,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],5.12,8.51,6.27,5.72,9.9,7.91,5.05,8.07,5.99,4.06,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],6.22,9.51,5.23,9.29,7.84,3.13,7.26,9.4,8.03,6.5,Slytherin
['Introvert'],['Avoidant'],['Idealist'],8.09,7.07,6.44,3.09,3.91,6.49,8.64,7.57,5.09,7.82,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],0.32,4.17,8.02,1.23,2.32,8.51,6.05,6.46,3.78,9.3,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],8.28,9.42,9.33,6.46,7.74,9.58,7.6,6.91,4.71,5.29,Gryffindor
['Ambivert'],['Mediator'],['Realist'],7.11,9.77,3.63,7.89,9.15,3.97,7.47,8.85,9.28,6.6,Slytherin
['Ambivert'],['Avoidant'],['Realist'],9.25,4.48,6.16,3.3,5.52,7.09,9.34,7.12,5.03,7.81,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],5.01,2.39,8.77,5.98,5.41,7.26,4.89,8.07,3.46,9.28,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],7.16,8.17,6.26,9.65,7.94,8.19,7.07,6.26,5.74,4.04,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],5.13,9.12,2.97,7.36,7.83,5.76,7.16,9.77,8.12,7.41,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.25,7.81,8.24,5.22,4.73,6.25,8.45,7.17,5.57,7.25,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],4.58,0.7,9.91,4.0,0.77,8.09,6.14,6.23,3.94,9.28,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],9.86,9.75,9.77,8.58,9.96,8.27,6.88,7.7,5.46,5.72,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],5.4,9.16,4.9,7.94,9.82,4.12,7.76,8.74,9.35,7.78,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.36,4.86,8.67,4.65,5.25,5.77,9.12,8.21,6.09,7.3,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],5.01,6.28,9.18,5.91,5.38,6.55,5.04,7.15,3.78,9.48,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],6.02,8.36,8.04,6.08,8.8,9.67,5.86,6.77,5.94,5.43,Gryffindor
